"","n","beta","rho","lm_r2_m","pw_r2_m","lm_r2_std","pw_r2_std","lm_beta_m","pw_beta_m","lm_beta_std","lm_beta_std.1","lm_mse_m","pw_mse_m","lm_mse_std","pw_mse_std"
"15",1000,1,"c(0.3, 0.3, 0.3)",0.923299930799883,0.918555437115648,0.00900948065093337,0.00900948065093337,1.01511254049115,1.00329171417239,0.0252998998297247,0.013442877411525,2.84789059731227,0.979901147538153,0.304111594110398,0.0494859299680997
"16",50,0.1,"c(0.5, 0.2, 0.1)",0.175905772886537,0.0944271430668886,0.20892926158702,0.20892926158702,0.0946428916759608,0.0846921359736244,0.0889279177243644,0.0418460724278393,1.64519230029622,1.01179641758528,0.49157494321347,0.161950582826227
"17",100,0.1,"c(0.5, 0.2, 0.1)",0.100693205676304,0.136184037016675,0.120370126041572,0.120370126041572,0.066067671770022,0.0998473017454663,0.0701401301450297,0.0346063803087091,1.88083515972761,0.949771274749021,0.593723298727878,0.133343845115172
"18",300,0.1,"c(0.5, 0.2, 0.1)",0.111031774138884,0.102761535802523,0.105142474608099,0.105142474608099,0.0847043435215958,0.0953044269614882,0.0608139280724268,0.0207487367898677,2.30042631868721,1.02110498096967,0.393060239378064,0.0829018314924491
"19",600,0.1,"c(0.5, 0.2, 0.1)",0.137577347688119,0.118603325136557,0.0871533184258087,0.0871533184258087,0.0954480466792439,0.105178425033354,0.0360736896677239,0.011415232618912,2.08474055676691,1.02766188290754,0.235141483357893,0.0559943719329049
"20",1000,0.1,"c(0.5, 0.2, 0.1)",0.139479287506928,0.109809985705847,0.0301788435722636,0.0301788435722636,0.0995466316191453,0.0986500011310083,0.0147549191603374,0.00877956855538907,2.08326386636635,0.989010167215905,0.219036882172548,0.0531461630954626
"21",50,0.5,"c(0.5, 0.2, 0.1)",0.810912638284071,0.792248277159807,0.109905520289234,0.109905520289234,0.468478880410218,0.506613224604153,0.103922537521604,0.0543375760882975,1.57136854767194,0.96894510928391,0.613649038910295,0.243397974754197
"22",100,0.5,"c(0.5, 0.2, 0.1)",0.820645694905953,0.765221538558898,0.0582490439192187,0.0582490439192187,0.513602160969271,0.488493210327668,0.0615489232814922,0.0290392567488521,1.92272512367619,1.05633546523477,0.437216088435495,0.180001928251514
"23",300,0.5,"c(0.5, 0.2, 0.1)",0.768367188265696,0.752909428170751,0.0697641361721206,0.0697641361721206,0.463519071110482,0.492536387266187,0.0489544519579051,0.0115980475060539,2.10486848901066,1.0273619329002,0.452944300474235,0.0687983830730453
"24",600,0.5,"c(0.5, 0.2, 0.1)",0.812783107665659,0.755478774380155,0.0298742839889329,0.0298742839889329,0.524448358541846,0.50405709120671,0.0222141196292262,0.0139505453254175,2.09009486908072,1.02374490623255,0.239692352476426,0.0485082256743447
"25",1000,0.5,"c(0.5, 0.2, 0.1)",0.801917121841984,0.755518651678416,0.0158267115725261,0.0158267115725261,0.500080965571868,0.500338044357574,0.0133733818364725,0.00780201200419551,2.03855604296327,0.995290685591279,0.203157017380156,0.0537325772811254
"26",50,1,"c(0.5, 0.2, 0.1)",0.944056404487689,0.932727348276319,0.0208168401033354,0.0208168401033354,0.985527491643602,0.999596218063131,0.0909616686431364,0.0402177146127334,1.72735271500984,0.92384800552745,0.356080638053352,0.243091953487142
"27",100,1,"c(0.5, 0.2, 0.1)",0.939618081895593,0.9306709836725,0.0230584250703447,0.0230584250703447,1.02186900658185,0.99857257350475,0.0730149587526182,0.0210813538321138,2.17875064771695,1.08243605145083,0.705115150236268,0.129083312867829
"28",300,1,"c(0.5, 0.2, 0.1)",0.943701554607561,0.925431171823603,0.0100906199021577,0.0100906199021577,1.0062205345788,1.00116289394115,0.0453784434007107,0.0192549810440788,1.995145651329,1.03701846407124,0.242051913574546,0.0926428176796367
"29",600,1,"c(0.5, 0.2, 0.1)",0.943706046430548,0.926967770295705,0.00785493489621648,0.00785493489621648,0.993860926017085,0.998899186007538,0.0294026963847174,0.0123333184698417,1.96552598792965,0.976339258659089,0.274090641245886,0.0682368563007365
"30",1000,1,"c(0.5, 0.2, 0.1)",0.942888604992709,0.923382846194966,0.00318326044114434,0.00318326044114434,1.00705685217266,1.00077145320497,0.0197977068628197,0.00797445653605224,2.04247201116192,1.00292751019341,0.119735419259277,0.0478597959841908
