"","n","beta","beta0","std","rho","lm_r2_m","pw_r2_m","lm_r2_std","pw_r2_std","lm_beta1_m","pw_beta1_m","lm_beta1_std","pw_beta1_std","lm_beta0_m","pw_beta0_m","lm_beta0_std","pw_beta0_std","lm_mse_m","pw_mse_m","lm_mse_std","pw_mse_std"
"26",50,1,1,1,"c(0.7, 0.2)",0.7578,0.9305,0.0947,0.0947,1.0064,1.0003,0.0839,0.0437,1.0103,1.0567,1.2274,1.2518,2.7507,0.9364,1.5157,0.1897
"27",100,1,1,1,"c(0.7, 0.2)",0.7174,0.9327,0.0896,0.0896,1.0031,0.9995,0.0631,0.0295,0.9532,0.9615,1.0483,1.0373,3.4461,0.9851,1.6366,0.1512
"28",200,1,1,1,"c(0.7, 0.2)",0.6882,0.9335,0.0673,0.0673,1.0021,0.9993,0.0471,0.021,0.9743,0.9832,0.7246,0.7239,3.8599,1.008,1.1744,0.0994
"29",600,1,1,1,"c(0.7, 0.2)",0.663,0.9333,0.0463,0.0463,0.9982,0.9997,0.0304,0.0121,1.0269,1.0213,0.4244,0.4062,4.2535,1.0345,0.8371,0.0635
"30",1000,1,1,1,"c(0.7, 0.2)",0.6564,0.9336,0.0353,0.0353,0.9996,1.0003,0.0225,0.0089,1.0207,1.0177,0.3395,0.3196,4.3756,1.0394,0.6372,0.0498
"31",50,0.1,4,1,"c(0.7, 0.2)",0.0542,0.1424,0.0609,0.0609,0.0948,0.1026,0.0876,0.0453,4.0665,4.0167,1.3478,1.3154,2.7868,0.9406,1.4162,0.206
"32",100,0.1,4,1,"c(0.7, 0.2)",0.0361,0.1234,0.0353,0.0353,0.1006,0.0983,0.0674,0.03,3.8856,3.8747,0.939,0.9165,3.5343,0.9984,1.6174,0.1504
"33",200,0.1,4,1,"c(0.7, 0.2)",0.0267,0.1276,0.0216,0.0216,0.099,0.1,0.0486,0.0193,3.9692,3.9566,0.7361,0.6966,3.9586,1.013,1.3234,0.1011
"34",600,0.1,4,1,"c(0.7, 0.2)",0.0208,0.1243,0.0118,0.0118,0.0985,0.0999,0.0291,0.0122,4.0321,4.0275,0.4435,0.4245,4.2398,1.034,0.86,0.0642
"35",1000,0.1,4,1,"c(0.7, 0.2)",0.0202,0.1228,0.0097,0.0097,0.1003,0.0995,0.0244,0.0091,4.0218,4.0243,0.3144,0.3041,4.356,1.0368,0.648,0.0454
"36",50,0.5,4,1,"c(0.7, 0.2)",0.4402,0.762,0.1378,0.1378,0.504,0.4974,0.0826,0.0427,4.0939,4.1257,1.3269,1.3548,2.9389,0.9599,1.6196,0.1975
"37",100,0.5,4,1,"c(0.7, 0.2)",0.3895,0.7718,0.1048,0.1048,0.4963,0.4975,0.0625,0.0288,4.0376,4.0252,0.9833,0.9689,3.4483,0.9898,1.3938,0.147
"38",200,0.5,4,1,"c(0.7, 0.2)",0.3532,0.7739,0.0796,0.0796,0.4935,0.4998,0.0478,0.0208,3.9867,3.9567,0.7661,0.741,3.8636,1.0189,1.1833,0.1055
"39",600,0.5,4,1,"c(0.7, 0.2)",0.3304,0.777,0.0507,0.0507,0.5001,0.5,0.0269,0.0115,4.0199,4.0202,0.4434,0.4251,4.3225,1.041,0.855,0.0646
"40",1000,0.5,4,1,"c(0.7, 0.2)",0.3247,0.7792,0.0396,0.0396,0.501,0.5004,0.024,0.0098,4.0028,4.0057,0.3438,0.3166,4.4041,1.0363,0.6806,0.0472
"41",50,1,4,1,"c(0.7, 0.2)",0.7511,0.9289,0.1064,0.1064,1.0066,1.0024,0.0884,0.0416,4.0082,4.0146,1.293,1.3247,2.8586,0.9468,1.669,0.2207
"42",100,1,4,1,"c(0.7, 0.2)",0.7102,0.932,0.0883,0.0883,0.9947,0.9993,0.0645,0.0289,4.0778,4.0539,1.0228,1.0115,3.4657,0.9957,1.4426,0.1435
"43",200,1,4,1,"c(0.7, 0.2)",0.6904,0.9334,0.069,0.069,0.9998,1.0016,0.0446,0.0201,3.9611,3.9569,0.6873,0.681,3.8331,1.0159,1.2545,0.1086
"44",600,1,4,1,"c(0.7, 0.2)",0.6644,0.9334,0.0472,0.0472,0.9995,1,0.0302,0.013,3.9939,3.9915,0.4156,0.4068,4.2392,1.0332,0.8285,0.0621
"45",1000,1,4,1,"c(0.7, 0.2)",0.6573,0.933,0.0337,0.0337,0.9997,0.9999,0.0238,0.0092,3.9952,3.9953,0.3336,0.3084,4.351,1.0433,0.6352,0.048
"46",50,0.1,0,1,"c(0.5, 0.4)",0.0613,0.1259,0.0607,0.0607,0.1099,0.1035,0.076,0.0454,0.0865,0.1153,1.3038,1.3368,2.4696,1.0523,1.3774,0.2689
"47",100,0.1,0,1,"c(0.5, 0.4)",0.0438,0.1126,0.0412,0.0412,0.104,0.1001,0.0598,0.0342,-0.0588,-0.0431,0.9762,0.9696,2.9192,1.1086,1.448,0.19
"48",200,0.1,0,1,"c(0.5, 0.4)",0.0325,0.1134,0.0253,0.0253,0.1033,0.1024,0.0474,0.0229,-0.0676,-0.062,0.6961,0.6705,3.4936,1.1562,1.1698,0.1273
"49",600,0.1,0,1,"c(0.5, 0.4)",0.0224,0.1076,0.0116,0.0116,0.097,0.1002,0.0246,0.014,0.0304,0.0135,0.4155,0.3967,3.7711,1.1769,0.8331,0.0831
"50",1000,0.1,0,1,"c(0.5, 0.4)",0.0228,0.1078,0.0097,0.0097,0.1002,0.1004,0.0223,0.0114,0.0151,0.015,0.3136,0.3015,3.8173,1.1799,0.5796,0.0616
"51",50,0.5,0,1,"c(0.5, 0.4)",0.497,0.7403,0.1427,0.1427,0.5047,0.5033,0.077,0.0453,-0.0269,-0.0366,1.2333,1.2023,2.3595,1.0266,1.3585,0.2501
"52",100,0.5,0,1,"c(0.5, 0.4)",0.4224,0.7434,0.1207,0.1207,0.4945,0.5001,0.0613,0.0327,0.0521,0.0289,0.9721,0.962,3.0808,1.105,1.5334,0.1769
"53",200,0.5,0,1,"c(0.5, 0.4)",0.3958,0.7422,0.085,0.085,0.5033,0.5001,0.0444,0.0232,0.0287,0.0523,0.7245,0.7153,3.3866,1.1571,1.1125,0.1273
"54",600,0.5,0,1,"c(0.5, 0.4)",0.3626,0.7493,0.052,0.052,0.4983,0.501,0.0266,0.013,-0.004,-0.0178,0.4146,0.4023,3.7152,1.1679,0.7019,0.0763
"55",1000,0.5,0,1,"c(0.5, 0.4)",0.3621,0.7468,0.0394,0.0394,0.4999,0.5,0.0209,0.0107,-0.003,-0.0043,0.3465,0.3297,3.7185,1.1813,0.5728,0.0649
"56",50,1,0,1,"c(0.5, 0.4)",0.79,0.9158,0.0876,0.0876,1.0111,0.9991,0.0765,0.0506,0.0646,0.1258,1.1984,1.2353,2.3188,1.0473,1.287,0.2619
"57",100,1,0,1,"c(0.5, 0.4)",0.7376,0.921,0.082,0.082,1.0067,1.0038,0.063,0.0354,-0.0928,-0.0749,0.9239,0.9231,3.1154,1.1211,1.3638,0.1971
"58",200,1,0,1,"c(0.5, 0.4)",0.714,0.9197,0.0668,0.0668,0.9991,1.0005,0.0468,0.0231,0.0157,0.008,0.7775,0.7586,3.3684,1.1648,0.9989,0.1324
"59",600,1,0,1,"c(0.5, 0.4)",0.6917,0.9212,0.0422,0.0422,0.9997,1.0003,0.0269,0.0132,0.0187,0.0125,0.4392,0.4247,3.7381,1.1837,0.7302,0.075
"60",1000,1,0,1,"c(0.5, 0.4)",0.6856,0.9214,0.0359,0.0359,1.001,1.0008,0.021,0.011,-0.0084,-0.008,0.3262,0.3102,3.842,1.192,0.609,0.0674
"61",50,0.1,1,1,"c(0.5, 0.4)",0.0594,0.1152,0.0577,0.0577,0.0996,0.0992,0.0805,0.0467,1.016,1.0238,1.2623,1.2838,2.3697,1.044,1.4111,0.2545
"62",100,0.1,1,1,"c(0.5, 0.4)",0.0397,0.117,0.0351,0.0351,0.0998,0.1014,0.0668,0.0335,1.0403,1.0378,1.0045,0.985,3.1436,1.1102,1.4065,0.184
"63",200,0.1,1,1,"c(0.5, 0.4)",0.0305,0.1052,0.023,0.023,0.1019,0.0988,0.0476,0.0238,0.9597,0.977,0.7219,0.7061,3.4424,1.1593,1.1728,0.1288
"64",600,0.1,1,1,"c(0.5, 0.4)",0.023,0.1048,0.0121,0.0121,0.098,0.0989,0.0268,0.0135,1.0234,1.0215,0.4313,0.4072,3.7715,1.185,0.7567,0.0861
